"DATA";"NRS";"ENFERMARIA_ADULTO_TOTAL";"ENFERMARIA_ADULTO_OCUPADOS";"ENFERMARIA_PEDIATRICA_TOTAL";"ENFERMARIA_PEDIATRICA_OCUPADOS";"UTI_ADULTO_TOTAL";"UTI_ADULTO_OCUPADOS";"UTI_PEDIATRICA_TOTAL";"UTI_PEDIATRICA_OCUPADOS";"ENFERMARIA_ADULTO_VAGOS";"ENFERMARIA_PEDIATRICA_VAGOS";"UTI_ADULTO_VAGOS";"UTI_PEDIATRICA_VAGOS";"ENFERMARIA_GERAL_TOTAL";"ENFERMARIA_GERAL_OCUPADOS";"ENFERMARIA_GERAL_VAGOS";"UTI_GERAL_TOTAL";"UTI_GERAL_OCUPADOS";"UTI_GERAL_VAGOS";"LEITOS_TOTAL";"LEITOS_OCUPADOS";"LEITOS_VAGOS";"ENFERMARIA_ADULTO_TX_OCUPACAO";"ENFERMARIA_PEDIATRICA_TX_OCUPACAO";"UTI_ADULTO_TX_OCUPACAO";"UTI_PEDIATRICA_TX_OCUPACAO";"ENFERMARIA_GERAL_TX_OCUPACAO";"UTI_GERAL_TX_OCUPACAO";"LEITOS_TX_OCUPACAO"
2020-06-25;"NORTE";79;20;2;0;20;14;0;0;59;2;6;0;81;20;61;20;14;6;101;34;67;0,2532;0;0,7;NA;0,2469;0,7;0,3366
2020-06-25;"OESTE";20;1;0;0;9;7;0;0;19;0;2;0;20;1;19;9;7;2;29;8;21;0,05;NA;0,7778;NA;0,05;0,7778;0,2759
2020-06-25;"SUDOESTE";74;21;0;0;50;35;0;0;53;0;15;0;74;21;53;50;35;15;124;56;68;0,2838;NA;0,7;NA;0,2838;0,7;0,4516
2020-06-25;"SUL";161;79;10;1;87;73;3;1;82;9;14;2;171;80;91;90;74;16;261;154;107;0,4907;0,1;0,8391;0,3333;0,4678;0,8222;0,59
2020-06-26;"CENTRO-LESTE";133;49;20;2;43;21;10;3;84;18;22;7;153;51;102;53;24;29;206;75;131;0,3684;0,1;0,4884;0,3;0,3333;0,4528;0,3641
2020-06-26;"CENTRO-NORTE";55;8;0;0;5;3;0;0;47;0;2;0;55;8;47;5;3;2;60;11;49;0,1455;NA;0,6;NA;0,1455;0,6;0,1833
2020-06-26;"EXTREMO-SUL";20;7;0;0;25;23;0;0;13;0;2;0;20;7;13;25;23;2;45;30;15;0,35;NA;0,92;NA;0,35;0,92;0,6667
2020-06-26;"LESTE";667;485;27;14;607;486;27;11;182;13;121;16;694;499;195;634;497;137;1328;996;332;0,7271;0,5185;0,8007;0,4074;0,719;0,7839;0,75
2020-06-26;"NORDESTE";12;4;0;0;12;5;0;0;8;0;7;0;12;4;8;12;5;7;24;9;15;0,3333;NA;0,4167;NA;0,3333;0,4167;0,375
2020-06-26;"NORTE";79;23;2;0;20;14;0;0;56;2;6;0;81;23;58;20;14;6;101;37;64;0,2911;0;0,7;NA;0,284;0,7;0,3663
